trustorID,trusteeID,trustValue
2344,122,7
3662,290,7
3766,831,9
601,3572,8
2447,2377,3
2533,2086,5
2407,179,3
3790,2394,4
1757,2073,2
3910,3332,6
1655,2766,5
2555,3549,4
1825,812,8
1707,2864,8
3043,2361,8
425,1041,1
3832,1779,3
1279,2421,2
3750,473,5
2408,2610,9
1343,1089,9
834,2828,6
2823,2026,8
3410,3528,6
2308,1249,9
928,2636,6
1204,3781,8
2044,3036,1
1783,374,9
3525,1412,8
2638,1980,9
858,3787,5
3945,1911,7
2031,1539,2
3769,402,6
2813,3670,6
910,3174,5
3507,2536,6
499,587,5
157,3188,4
1767,753,4
3399,3573,8
3607,1157,2
3697,2150,8
3143,858,1
2516,3877,4
521,3938,9
31,2062,7
1196,1821,5
927,548,3
2652,45,3
3204,3077,8
3619,3494,1
2058,2577,8
731,3062,8
3298,2794,1
998,1599,9
1582,2282,2
3322,2553,3
3485,1763,1
593,2964,5
2538,3119,2
2992,2350,7
2689,809,6
2300,2881,8
3320,1599,4
2521,3321,5
157,2285,7
3583,3395,1
1052,3570,6
3279,2510,1
3462,797,1
2534,1647,2
3497,322,2
1103,2422,9
336,3121,5
640,1111,8
587,929,8
2721,3187,2
840,298,3
2944,773,2
866,608,5
1289,3242,7
1523,2791,5
1997,1836,8
3902,3620,1
1426,1573,1
1226,816,8
2406,1423,9
1791,16,5
3353,3777,2
3760,2352,2
1711,157,8
183,1636,9
1480,2619,5
2412,2802,1
1280,1631,7
177,1842,1
317,1161,7
1415,3040,5
287,500,8
2376,3232,4
2866,372,9
270,1062,9
1970,161,8
2076,1798,3
1180,2646,1
3466,3378,2
1927,1145,6
3666,415,4
136,2576,9
412,411,3
89,3402,7
3215,36,9
2454,2894,4
244,3257,3
741,2811,7
1342,2466,7
438,3375,9
3069,2311,1
1160,3692,8
2835,922,5
1725,1378,2
2461,1629,6
1252,1018,8
2264,1919,8
3147,3694,3
2609,2881,7
490,456,6
1978,1721,9
260,3329,1
680,868,2
1843,385,6
1367,1533,8
2055,1279,7
2102,2820,8
1400,1130,4
700,926,3
3405,1036,7
1805,3406,4
3781,1349,5
3395,57,3
412,2967,9
3310,137,8
571,3930,6
1982,1977,7
2879,922,3
3672,3129,7
2113,574,5
3414,2427,3
3609,1015,8
289,1322,7
2205,3141,7
403,1715,7
2678,3798,4
933,3196,3
3050,3513,5
3157,3340,8
48,2344,9
2900,468,1
1049,2700,5
3890,1747,7
2717,3176,1
994,482,6
3862,2720,2
3735,3539,4
2840,3946,4
589,3489,3
3267,412,3
598,3426,4
495,1285,2
2240,1984,6
2184,1922,3
3313,193,8
1838,1064,8
1944,1619,8
969,1138,7
1,390,6
3014,2503,7
125,3257,2
2947,3601,3
331,1739,6
886,1858,6
1938,1217,4
3546,1102,1
82,3297,9
1855,309,6
1903,1527,5
949,2584,1
3709,598,2
3759,767,6
206,3508,8
3265,1261,2
3474,1791,9
558,3204,5
439,3088,4
1936,1014,3
2360,1995,3
3556,3992,3
968,2134,5
1073,9,7
1379,1501,6
3055,60,4
3805,3226,8
2894,134,6
824,3226,3
2748,3140,6
2159,2167,6
3995,2696,8
2582,2365,1
2420,1683,7
2596,2534,1
3095,3798,3
789,3475,1
2858,1363,6
2817,182,1
1554,210,5
3603,421,2
2204,1484,1
3111,1507,8
70,2257,2
1019,3747,4
3045,1482,8
1783,3058,5
3987,3160,8
1116,556,3
1767,3070,4
3978,368,4
2108,2963,3
929,295,6
270,2510,9
884,3564,4
1491,1836,7
3712,540,5
3664,1712,8
3427,2393,5
1845,3924,2
427,2474,9
461,1733,2
3956,1885,3
1709,2570,9
1641,1986,6
1597,1834,5
2120,2607,7
3634,3546,5
3640,3271,5
241,2696,4
584,1716,9
669,2903,7
406,527,6
3243,3830,3
3453,2875,6
18,1297,7
1803,2571,1
1330,1386,7
2116,3574,9
2352,783,7
1943,1435,2
393,2617,9
1262,2189,6
2599,324,8
533,1638,3
2469,1412,8
234,2850,9
3314,497,7
776,3394,8
1273,3026,8
930,1425,2
973,1532,3
2427,1452,7
1427,2056,7
3482,1653,5
2002,2598,7
2927,1388,6
2463,2340,7
2080,2793,8
1628,3702,7
1545,737,7
3677,246,6
1531,2266,1
3133,3680,7
3031,662,5
1554,1627,4
1966,1410,5
1180,3498,4
685,897,1
1376,2185,6
3179,932,3
2876,1903,7
3788,2432,5
1571,3282,8
403,3988,1
867,2061,7
469,2807,3
3039,2557,9
1243,82,8
2054,102,1
1544,3299,5
2858,3370,1
1188,1266,1
32,1209,3
2537,1396,6
3100,3671,5
3528,2162,3
1300,1864,9
3582,3705,2
467,2159,8
2734,1261,3
2425,2625,6
967,1995,7
807,3177,9
1266,402,9
3951,253,8
2227,2100,7
2104,1851,1
635,3421,8
932,1877,9
1716,2789,5
1353,3004,4
2206,1842,4
303,3421,4
2902,3147,9
1676,3734,6
2676,3844,6
3379,3981,4
435,3714,6
1800,2894,6
1237,988,8
2348,3541,5
3444,1526,7
2279,1543,2
1075,1845,3
1646,2554,5
79,2813,5
2349,1913,4
2751,493,3
137,1504,3
2225,2120,4
348,2495,8
1843,1137,3
1716,1731,4
1541,1625,8
2126,2663,7
446,3,1
1901,1281,5
556,3268,7
3649,1890,1
596,3266,5
354,1443,3
1500,688,4
2744,2942,4
2893,213,1
3969,3542,2
2123,3406,1
244,2405,2
2236,3211,5
2770,135,7
94,2657,2
467,2750,2
2078,1386,2
107,609,1
361,2239,9
1312,3754,8
27,2473,5
1878,2980,5
472,2469,1
3040,799,4
3198,854,4
2700,2892,6
2282,1571,2
1752,1402,8
3669,2157,4
2359,2530,7
2976,1965,7
2862,890,8
1050,509,9
2067,2097,9
981,413,2
1364,283,6
482,374,6
2379,3194,8
891,1609,3
1669,2255,8
1414,1293,7
714,732,3
3046,2849,9
3359,1138,3
2469,2840,5
3196,339,7
716,3207,5
2505,333,8
3251,3647,6
2090,635,8
1705,3202,7
2908,1643,5
240,44,1
2497,3250,8
2636,159,3
1166,416,8
3618,2854,7
512,3590,4
1103,3892,4
309,194,7
2487,2075,1
1583,318,4
987,868,7
3631,289,9
1486,49,1
3542,2721,1
1941,2518,4
920,3051,9
1929,1912,7
2801,619,7
2208,2886,4
3866,2033,4
1210,2661,5
173,1423,8
688,150,6
3676,1380,5
1522,2177,8
1911,3201,4
2247,2449,3
3705,3405,6
3964,2626,9
3184,3855,7
6,378,9
2549,784,8
1529,911,3
1862,2345,3
345,1228,9
1927,1236,3
1146,187,2
2105,520,2
2389,3723,9
1160,2925,7
161,848,7
3134,1222,6
1318,1821,4
3214,3138,7
3177,914,3
2291,1001,7
152,1839,9
3952,1424,5
1583,837,8
2100,558,1
3453,1609,3
3212,2658,4
1662,3360,3
1651,2042,8
3961,1422,8
307,3008,2
1412,3058,5
1006,1837,9
756,1341,5
1807,2399,7
2075,3566,6
3074,3947,6
980,1722,7
3921,2647,8
2408,3,6
